Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000evwx,5,"Saturday, January 26, 2013 15:10:51 UTC",38.2948,46.8144,4.8,18.40,35,"northwestern Iran"
uw,60497617,3,"Saturday, January 26, 2013 15:10:00 UTC",47.8815,-121.6528,1.7,8.80,31,"Washington"
nn,00400963,9,"Saturday, January 26, 2013 15:08:21 UTC",38.5208,-119.3996,1.4,1.10, 9,"Central California"
nn,00400962,9,"Saturday, January 26, 2013 14:34:28 UTC",38.5146,-119.4199,1.2,4.00, 8,"Central California"
ak,10645400,1,"Saturday, January 26, 2013 14:32:26 UTC",62.3487,-149.0410,1.8,13.50, 9,"Central Alaska"
ci,15277753,0,"Saturday, January 26, 2013 14:20:20 UTC",34.2225,-117.4823,1.5,23.60,16,"Greater Los Angeles area, California"
ci,15277745,0,"Saturday, January 26, 2013 14:11:24 UTC",33.3773,-116.8410,1.1,9.50,51,"Southern California"
ci,15277737,0,"Saturday, January 26, 2013 14:04:25 UTC",35.4860,-118.2897,1.6,8.20,25,"Central California"
ci,15277729,0,"Saturday, January 26, 2013 14:02:40 UTC",36.0778,-117.8785,2.3,0.40,24,"Central California"
ci,15277713,0,"Saturday, January 26, 2013 14:00:34 UTC",32.5807,-115.7012,1.6,8.90,25,"Baja California, Mexico"
ak,10645390,1,"Saturday, January 26, 2013 13:23:57 UTC",62.0858,-145.1873,1.9,9.10,11,"Central Alaska"
nc,71929141,4,"Saturday, January 26, 2013 13:10:38 UTC",39.8178,-123.6297,3.5,7.30,25,"Northern California"
ci,15277697,0,"Saturday, January 26, 2013 12:52:13 UTC",34.0417,-117.2505,1.3,19.90,68,"Greater Los Angeles area, California"
nc,71929126,1,"Saturday, January 26, 2013 12:46:43 UTC",38.8168,-122.8152,2.0,2.70,35,"Northern California"
nc,71929121,0,"Saturday, January 26, 2013 12:34:08 UTC",38.8205,-122.7635,1.0,2.40,18,"Northern California"
nc,71929106,0,"Saturday, January 26, 2013 12:10:44 UTC",35.5567,-120.8258,1.4,6.90,18,"Central California"
ak,10645373,1,"Saturday, January 26, 2013 11:51:59 UTC",63.2206,-147.1090,1.7,1.00, 9,"Central Alaska"
ak,10645366,1,"Saturday, January 26, 2013 11:32:45 UTC",59.4485,-153.5812,3.1,131.40,50,"Southern Alaska"
nc,71929081,1,"Saturday, January 26, 2013 11:23:30 UTC",38.8050,-122.7982,2.0,3.00,37,"Northern California"
ci,15277673,0,"Saturday, January 26, 2013 11:17:49 UTC",32.6072,-115.6902,1.4,11.80,21,"Baja California, Mexico"
ak,10645358,1,"Saturday, January 26, 2013 11:15:04 UTC",63.3318,-144.6958,1.4,13.80, 6,"Central Alaska"
ak,10645355,1,"Saturday, January 26, 2013 11:12:30 UTC",60.3764,-152.1975,2.4,117.70,17,"Southern Alaska"
ci,15277665,0,"Saturday, January 26, 2013 11:12:21 UTC",34.8777,-120.3227,1.8,0.70,13,"Central California"
us,c000evw5,6,"Saturday, January 26, 2013 11:01:41 UTC",-6.1335,149.8114,4.9,41.30,65,"New Britain region, Papua New Guinea"
ci,15277657,0,"Saturday, January 26, 2013 10:48:29 UTC",32.4860,-115.5793,1.5,9.60,15,"Baja California, Mexico"
ci,15277649,0,"Saturday, January 26, 2013 10:33:58 UTC",34.1245,-117.4122,1.2,5.80,54,"Greater Los Angeles area, California"
ak,10645348,1,"Saturday, January 26, 2013 10:19:00 UTC",63.3213,-145.2150,1.6,0.00, 8,"Central Alaska"
hv,60458951,1,"Saturday, January 26, 2013 10:12:19 UTC",19.3815,-155.2430,1.8,2.10,11,"Island of Hawaii, Hawaii"
hv,60458946,1,"Saturday, January 26, 2013 10:12:06 UTC",19.3770,-155.2420,1.7,2.50,16,"Island of Hawaii, Hawaii"
hv,60458941,1,"Saturday, January 26, 2013 10:11:59 UTC",19.3768,-155.2388,1.8,3.20,10,"Island of Hawaii, Hawaii"
hv,60458936,2,"Saturday, January 26, 2013 10:11:03 UTC",19.3783,-155.2393,2.1,2.20,14,"Island of Hawaii, Hawaii"
hv,60458931,2,"Saturday, January 26, 2013 10:08:41 UTC",19.3818,-155.2363,2.9,0.10,25,"Island of Hawaii, Hawaii"
hv,60458926,5,"Saturday, January 26, 2013 10:08:33 UTC",19.3780,-155.2417,2.1,2.70,36,"Island of Hawaii, Hawaii"
